,text,response,condition,img_name,response_type,group_id,model_name,version,prompt_type
26,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",15,related_image,doorknob_natural.jpeg,generation,9,gpt-4-turbo_100,natural,explicit
27,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",1,afforded_image,seveniron_natural.jpeg,generation,10,gpt-4-turbo_100,natural,explicit
28,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",1,non-afforded_image,hamsandwich_natural.jpeg,generation,10,gpt-4-turbo_100,natural,explicit
29,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",20,related_image,screwdriver_natural.jpeg,generation,10,gpt-4-turbo_100,natural,explicit
30,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",1,afforded_image,warmthermos_natural.jpeg,generation,11,gpt-4-turbo_100,natural,explicit
31,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",1,non-afforded_image,hairpin_natural.jpeg,generation,11,gpt-4-turbo_100,natural,explicit
32,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",80,related_image,hairdryer_natural.jpeg,generation,11,gpt-4-turbo_100,natural,explicit
33,"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",15,afforded_image,sandwichwrapper_natural.jpeg,generation,12,gpt-4-turbo_100,natural,explicit
34,"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",1,non-afforded_image,hamburgerbun_natural.png,generation,12,gpt-4-turbo_100,natural,explicit
35,"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",100,related_image,showercap_natural.jpeg,generation,12,gpt-4-turbo_100,natural,explicit
36,Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,60,afforded_image,leaves_natural.jpeg,generation,13,gpt-4-turbo_100,natural,explicit
37,Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,1,non-afforded_image,water_natural.jpeg,generation,13,gpt-4-turbo_100,natural,explicit
38,Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,85,related_image,clothes_natural.jpeg,generation,13,gpt-4-turbo_100,natural,explicit
39,"After wading barefoot in the lake, Erik needed something to get dry. What can Erik use to dry his feet?",60,afforded_image,shirt_natural.jpeg,generation,14,gpt-4-turbo_100,natural,explicit
40,"After wading barefoot in the lake, Erik needed something to get dry. What can Erik use to dry his feet?",1,non-afforded_image,glasses_natural.jpeg,generation,14,gpt-4-turbo_100,natural,explicit
41,"After wading barefoot in the lake, Erik needed something to get dry. What can Erik use to dry his feet?",100,related_image,towel_natural.jpeg,generation,14,gpt-4-turbo_100,natural,explicit
42,"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. What can Colleen write down the number on?",75,afforded_image,popsiclestick_natural.jpeg,generation,15,gpt-4-turbo_100,natural,explicit
43,"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. What can Colleen write down the number on?",1,non-afforded_image,bentearring_natural.jpeg,generation,15,gpt-4-turbo_100,natural,explicit
44,"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. What can Colleen write down the number on?",100,related_image,notepad_natural.jpeg,generation,15,gpt-4-turbo_100,natural,explicit
45,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. What can Harry use to push it out?,1,afforded_image,rolledpaper_natural.jpeg,generation,16,gpt-4-turbo_100,natural,explicit
46,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. What can Harry use to push it out?,5,non-afforded_image,smellysock_natural.jpeg,generation,16,gpt-4-turbo_100,natural,explicit
47,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. What can Harry use to push it out?,100,related_image,mophandle_natural.jpeg,generation,16,gpt-4-turbo_100,natural,explicit
48,"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. What can Janet use to draw on the blackboard?",1,afforded_image,rice_natural.jpeg,generation,17,gpt-4-turbo_100,natural,explicit
49,"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. What can Janet use to draw on the blackboard?",1,non-afforded_image,water_natural.jpeg,generation,17,gpt-4-turbo_100,natural,explicit
50,"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. What can Janet use to draw on the blackboard?",100,related_image,chalk_natural.jpeg,generation,17,gpt-4-turbo_100,natural,explicit
51,"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Where can Judy move the Xerox machine to for more privacy?",1,afforded_image,thelavatory_natural.jpeg,generation,18,gpt-4-turbo_100,natural,explicit
52,"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Where can Judy move the Xerox machine to for more privacy?",1,non-afforded_image,hermailbox_natural.jpeg,generation,18,gpt-4-turbo_100,natural,explicit
53,"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Where can Judy move the Xerox machine to for more privacy?",100,related_image,heroffice_natural.jpeg,generation,18,gpt-4-turbo_100,natural,explicit
54,Brad was sitting in his office when an intruder threatened him with a knife. Brad used this to protect himself.,5,afforded_image,laptopcomputer_natural.jpeg,generation,1,gpt-4-turbo_100,natural,implicit
55,Brad was sitting in his office when an intruder threatened him with a knife. Brad used this to protect himself.,1,non-afforded_image,papernapkin_natural.jpeg,generation,1,gpt-4-turbo_100,natural,implicit
56,Brad was sitting in his office when an intruder threatened him with a knife. Brad used this to protect himself.,1,related_image,huntingrifle_natural.jpeg,generation,1,gpt-4-turbo_100,natural,implicit
57,Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. Jenny pointed out her path using this.,1,afforded_image,pen_natural.jpeg,generation,2,gpt-4-turbo_100,natural,implicit
58,Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. Jenny pointed out her path using this.,1,non-afforded_image,nickel_natural.jpeg,generation,2,gpt-4-turbo_100,natural,implicit
59,Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. Jenny pointed out her path using this.,85,related_image,string_natural.jpeg,generation,2,gpt-4-turbo_100,natural,implicit
60,Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. Art used this to protect his table.,15,afforded_image,floppydisks_natural.jpeg,generation,3,gpt-4-turbo_100,natural,implicit
61,Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. Art used this to protect his table.,1,non-afforded_image,pencils_natural.jpeg,generation,3,gpt-4-turbo_100,natural,implicit
62,Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. Art used this to protect his table.,85,related_image,oldmagazines_natural.jpeg,generation,3,gpt-4-turbo_100,natural,implicit
63,"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. Mike used this to cover his face.",85,afforded_image,newspaper_natural.jpeg,generation,4,gpt-4-turbo_100,natural,implicit
64,"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. Mike used this to cover his face.",1,non-afforded_image,matchbook_natural.jpeg,generation,4,gpt-4-turbo_100,natural,implicit
65,"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. Mike used this to cover his face.",100,related_image,skimask_natural.jpeg,generation,4,gpt-4-turbo_100,natural,implicit
66,"David was playing hide and seek with his son, Duncan. Duncan hid in here.",1,afforded_image,clothesdryer_natural.jpeg,generation,5,gpt-4-turbo_100,natural,implicit
67,"David was playing hide and seek with his son, Duncan. Duncan hid in here.",1,non-afforded_image,cookiejar_natural.jpeg,generation,5,gpt-4-turbo_100,natural,implicit
68,"David was playing hide and seek with his son, Duncan. Duncan hid in here.",100,related_image,broomcloset_natural.jpeg,generation,5,gpt-4-turbo_100,natural,implicit
69,"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. Bill stood on this to finish painting.",20,afforded_image,tractor_natural.jpeg,generation,6,gpt-4-turbo_100,natural,implicit
70,"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. Bill stood on this to finish painting.",1,non-afforded_image,hammer_natural.jpeg,generation,6,gpt-4-turbo_100,natural,implicit
71,"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. Bill stood on this to finish painting.",20,related_image,chair_natural.jpeg,generation,6,gpt-4-turbo_100,natural,implicit
72,"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well.  Phil used this to fan the fire.",65,afforded_image,map_natural.jpeg,generation,7,gpt-4-turbo_100,natural,implicit
73,"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well.  Phil used this to fan the fire.",1,non-afforded_image,rock_natural.jpeg,generation,7,gpt-4-turbo_100,natural,implicit
74,"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well.  Phil used this to fan the fire.",100,related_image,bellows_natural.jpeg,generation,7,gpt-4-turbo_100,natural,implicit
75,"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. Peggy gave him this to play with.",30,afforded_image,plasticspoon_natural.jpeg,generation,8,gpt-4-turbo_100,natural,implicit
76,"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. Peggy gave him this to play with.",1,non-afforded_image,largerefrigerator_natural.jpeg,generation,8,gpt-4-turbo_100,natural,implicit
77,"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. Peggy gave him this to play with.",20,related_image,redbeanbag_natural.jpeg,generation,8,gpt-4-turbo_100,natural,implicit
78,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used this as a coat rack.",1,afforded_image,vacuumcleaner_natural.jpeg,generation,9,gpt-4-turbo_100,natural,implicit
79,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used this as a coat rack.",1,non-afforded_image,electricoutlet_natural.jpeg,generation,9,gpt-4-turbo_100,natural,implicit
80,"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used this as a coat rack.",1,related_image,doorknob_natural.jpeg,generation,9,gpt-4-turbo_100,natural,implicit
81,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan used this to chisel an inch of ice off his windshield.",1,afforded_image,seveniron_natural.jpeg,generation,10,gpt-4-turbo_100,natural,implicit
82,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan used this to chisel an inch of ice off his windshield.",1,non-afforded_image,hamsandwich_natural.jpeg,generation,10,gpt-4-turbo_100,natural,implicit
83,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan used this to chisel an inch of ice off his windshield.",20,related_image,screwdriver_natural.jpeg,generation,10,gpt-4-turbo_100,natural,implicit
84,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used this to smooth her skirt.",1,afforded_image,warmthermos_natural.jpeg,generation,11,gpt-4-turbo_100,natural,implicit
85,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used this to smooth her skirt.",1,non-afforded_image,hairpin_natural.jpeg,generation,11,gpt-4-turbo_100,natural,implicit
86,"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. Sarah used this to smooth her skirt.",60,related_image,hairdryer_natural.jpeg,generation,11,gpt-4-turbo_100,natural,implicit
87,"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. Aaron used this to cover his hair.",20,afforded_image,sandwichwrapper_natural.jpeg,generation,12,gpt-4-turbo_100,natural,implicit
88,"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. Aaron used this to cover his hair.",1,non-afforded_image,hamburgerbun_natural.png,generation,12,gpt-4-turbo_100,natural,implicit
89,"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. Aaron used this to cover his hair.",100,related_image,showercap_natural.jpeg,generation,12,gpt-4-turbo_100,natural,implicit
90,Marissa forgot to bring her pillow on her camping trip. Marisa used this as a pillow.,35,afforded_image,leaves_natural.jpeg,generation,13,gpt-4-turbo_100,natural,implicit
91,Marissa forgot to bring her pillow on her camping trip. Marisa used this as a pillow.,1,non-afforded_image,water_natural.jpeg,generation,13,gpt-4-turbo_100,natural,implicit
92,Marissa forgot to bring her pillow on her camping trip. Marisa used this as a pillow.,15,related_image,clothes_natural.jpeg,generation,13,gpt-4-turbo_100,natural,implicit
93,"After wading barefoot in the lake, Erik needed something to get dry. Erik used this to dry his feet.",30,afforded_image,shirt_natural.jpeg,generation,14,gpt-4-turbo_100,natural,implicit
94,"After wading barefoot in the lake, Erik needed something to get dry. Erik used this to dry his feet.",1,non-afforded_image,glasses_natural.jpeg,generation,14,gpt-4-turbo_100,natural,implicit
95,"After wading barefoot in the lake, Erik needed something to get dry. Erik used this to dry his feet.",100,related_image,towel_natural.jpeg,generation,14,gpt-4-turbo_100,natural,implicit
96,"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. Colleen used this to write the phone number on.",85,afforded_image,popsiclestick_natural.jpeg,generation,15,gpt-4-turbo_100,natural,implicit
97,"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. Colleen used this to write the phone number on.",1,non-afforded_image,bentearring_natural.jpeg,generation,15,gpt-4-turbo_100,natural,implicit
98,"While taking a walk, Colleen ran into an old friend. They exchanged phone numbers, but Colleen couldn't find anything to write on. Colleen used this to write the phone number on.",100,related_image,notepad_natural.jpeg,generation,15,gpt-4-turbo_100,natural,implicit
99,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. Harry used this to push it out.,20,afforded_image,rolledpaper_natural.jpeg,generation,16,gpt-4-turbo_100,natural,implicit
100,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. Harry used this to push it out.,5,non-afforded_image,smellysock_natural.jpeg,generation,16,gpt-4-turbo_100,natural,implicit
101,Harry accidentally dropped his book behind his bed. He couldn't reach it with his hand. Harry used this to push it out.,85,related_image,mophandle_natural.jpeg,generation,16,gpt-4-turbo_100,natural,implicit
102,"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. Janet used this to draw on the blackboard.",1,afforded_image,rice_natural.jpeg,generation,17,gpt-4-turbo_100,natural,implicit
103,"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. Janet used this to draw on the blackboard.",1,non-afforded_image,water_natural.jpeg,generation,17,gpt-4-turbo_100,natural,implicit
104,"Janet was teaching and needed to draw on the blackboard, but there were no fresh supplies in the classroom. Janet used this to draw on the blackboard.",100,related_image,chalk_natural.jpeg,generation,17,gpt-4-turbo_100,natural,implicit
105,"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Judy moved her Xerox machine here for more privacy.",1,afforded_image,thelavatory_natural.jpeg,generation,18,gpt-4-turbo_100,natural,implicit
106,"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Judy moved her Xerox machine here for more privacy.",1,non-afforded_image,hermailbox_natural.jpeg,generation,18,gpt-4-turbo_100,natural,implicit
107,"Judy was using the Xerox machine in the hallway, but people kept cutting in to make a few copies. Judy moved her Xerox machine here for more privacy.",100,related_image,heroffice_natural.jpeg,generation,18,gpt-4-turbo_100,natural,implicit
